"name","lon","lat"
"Abbotsford, British Columbia, CA","-122.2853854761037","49.069141225045925"
"Abilene, Texas, US","-99.73840044279189","32.4542801997807"
"Aguascalientes","-102.36391305464282","22.00606874749061"
"Ajax, Ontario, CA","-79.03017505878515","43.86636246730943"
"Akron, Ohio, US","-81.52060579567856","41.077481103685585"
"Alabama, US","-86.77701645200166","33.00715586487894"
"Alameda County, California, US","-122.0666801422594","37.69952266137465"
"Alaska, US","-148.52788278494452","61.5951363218152"
"Albany County, New York, US","-73.8220674494468","42.67725889398877"
"Albany, New York, US","-73.78764720850181","42.66108743419042"
"Alberta, Canada","-113.81400542935188","52.42891824860224"
"Albuquerque, New Mexico, US","-106.627846672883","35.107110591806915"
"Alexandria, Virginia, US","-77.08617005747377","38.81837418606034"
"Allegheny County, Pennsylvania, US","-79.97143528838127","40.44809836120229"
"Allen, Texas, US","-96.67351515153686","33.10877457111427"
"Allentown, Pennsylvania, US","-75.4755418471669","40.596100358803284"
"Amarillo, Texas, US","-101.83078752622721","35.19882750980941"
"American Samoa, US","-170.07959178377664","-13.966019236292277"
"Anaheim, California, US","-117.89754177859508","33.83372776484997"
"Anchorage, Alaska, US","-149.52270729223233","61.16039628110558"
"Ann Arbor, Michigan, US","-83.73323804661669","42.274699410497554"
"Antioch, California, US","-121.79640175212376","37.98292289198709"
"Apache County, Arizona, US","-109.499716308985","35.614941145200305"
"Arizona, US","-111.81798939248934","33.4112077966155"
"Arkansas, US","-92.65314849918356","35.133034840004626"
"Arlington County, Virginia, US","-77.10101749332398","38.878585111108386"
"Arlington, Texas, US","-97.1230952560109","32.69802586173272"
"Arvada, Colorado, US","-105.13062142120586","39.82745561042336"
"Athens-Clarke County, Georgia, US","-83.37702314991344","33.9507099417212"
"Atlanta, Georgia, US","-84.4103598088574","33.76345888999884"
"Atlantic City, New Jersey, US","-74.44473310424299","39.37046066309122"
"Augusta, Georgia, US","-82.05546598991702","33.40589466064677"
"Aurora, Colorado, US","-104.79057575527251","39.68179869106522"
"Aurora, Illinois, US","-88.29096000723672","41.75874348547432"
"Austin, Texas, US","-97.7471465117689","30.296500374735896"
"Australian Capital Territory, Australia","149.06600455443848","-35.321335281683844"
"Baja California","-115.10095578057212","30.552411534197315"
"Baja California Sur","-112.0513606774988","25.922973822401275"
"Bakersfield, California, US","-119.04479363212687","35.34229184579696"
"Baltimore, Maryland, US","-76.61375831743969","39.311523088686826"
"Barrie, Ontario, CA","-79.68473929856499","44.37034109222523"
"Baton Rouge, Louisiana, US","-91.0984317689721","30.471000465930008"
"Beaumont, Texas, US","-94.14725085630997","30.087078854922346"
