id,sk,name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff
88,88,Mayor of Indianapolis,IN,LOCAL,US,1,,http://www.indy.gov/eGov/Mayor/Pages/home.aspx,2023-11-07 00:00:00+00,Mayor plus 25 council seats,,FALSE,FALSE
424,424,Mobile Mayor,AL,LOCAL,US,1,4 years,http://www.cityofmobile.org/cityofficials/mayor.php,2025-08-25 00:00:00+00,,,FALSE,FALSE
868,868,Minneapolis Mayor,MN,LOCAL,US,1,4 years,http://www.ci.minneapolis.mn.us/council/,2025-11-04 00:00:00+00,,,FALSE,FALSE
892,892,Seattle Mayor,WA,LOCAL,US,1,4 years,http://www.ci.seattle.wa.us/council/,2025-11-04 00:00:00+00,,,FALSE,FALSE
1477,361,Mississippi State Senate,MS,STATE,US,52,4 years,http://billstatus.ls.state.ms.us/,2023-11-07 00:00:00+00,All seats,,FALSE,FALSE
1491,766,North Dakota Governor,ND,STATE,US,1,4 years,http://governor.nd.gov/,2024-11-05 00:00:00+00,,,FALSE,FALSE
1635,641,Montgomery County Commissioners,PA,LOCAL,US,3,4 years,"http://www2.montcopa.org/montco/cwp/view,a,3,Q,5181.asp",2023-11-07 00:00:00+00,All 3 seats,,FALSE,FALSE
2217,938,Governor of Baja California,BCN,STATE,MX,1,6 years,http://www.bajacalifornia.gob.mx/portal/gobierno/gobernador.jsp,2025-06-01 00:00:00+00,,,FALSE,FALSE
2222,662,Governor of Chihuahua,CHH,STATE,MX,1,6 years,,2027-06-06 00:00:00+00,Chihuahua State Governor & all 33 members of the unicameral Chihuahua State Congress,,FALSE,FALSE
2224,1070,Governor of Colima,COL,STATE,MX,1,6 years,,2027-06-06 00:00:00+00,All,,FALSE,FALSE
2237,850,Governor of Nayarit,NAY,STATE,MX,1,6 years,,2027-06-06 00:00:00+00,All,,FALSE,FALSE
2238,54,Governor of Nuevo León,NLE,STATE,MX,1,6 years,,2027-06-06 00:00:00+00,All,,FALSE,FALSE
2241,854,Governor of Querétaro,QUE,STATE,MX,1,6 years,,2027-06-06 00:00:00+00,,,FALSE,FALSE
2245,658,Governor of Sonora,SON,STATE,MX,1,6 years,http://www.sonora.gob.mx/swb/Sonora/Gobernador,2027-06-06 00:00:00+00,All,,FALSE,FALSE
2251,846,Governor of Zacatecas,ZAC,STATE,MX,1,6 years,http://www.zacatecas.gob.mx/index.php/gobierno/gobernador/,2027-06-06 00:00:00+00,All,,FALSE,FALSE
2316,2316,Philadelphia Sheriff,PA,LOCAL,US,1,,http://www.officeofphiladelphiasheriff.com/,2023-11-07 00:00:00+00,,,FALSE,FALSE
2562,2562,Florida Lieutenant Governor,FL,STATE,US,1,,,2022-11-08 00:00:00+00,,https://dos.myflorida.com/elections/,FALSE,FALSE
2567,2567,Illinois Lieutenant Governor,IL,STATE,US,1,,,2022-11-08 00:00:00+00,,,FALSE,FALSE
2573,2573,Maryland Lieutenant Governor,MD,STATE,US,1,,,2022-11-08 00:00:00+00,,,FALSE,FALSE
2574,2574,Michigan Lieutenant Governor,MI,STATE,US,1,,,2022-11-08 00:00:00+00,,,FALSE,FALSE
2581,2581,New Mexico Lieutenant Governor,NM,STATE,US,1,,,2022-11-08 00:00:00+00,,http://www.sos.state.nm.us/,FALSE,FALSE
2583,2583,New York Lieutenant Governor,NY,STATE,US,1,,,2022-11-08 00:00:00+00,,,FALSE,FALSE
2584,2584,Ohio Lieutenant Governor,OH,STATE,US,1,,,2022-11-08 00:00:00+00,,,FALSE,FALSE
2585,2585,Oklahoma Lieutenant Governor,OK,STATE,US,1,,,2022-11-08 00:00:00+00,,,FALSE,FALSE
2588,2588,South Dakota Lieutenant Governor,SD,STATE,US,1,,,2022-11-08 00:00:00+00,,,FALSE,FALSE
2629,129,Mayor of Providence,RI,LOCAL,US,1,4 years,http://cityof.providenceri.com/mayor,2022-11-08 00:00:00+00,,,FALSE,FALSE
2675,398,United States Senate,,NATIONAL,US,100,6 years,http://www.senate.gov/,2022-11-08 00:00:00+00,,,FALSE,FALSE
2683,597,New Hampshire Governor,NH,STATE,US,1,2 years,http://www.governor.nh.gov/,2022-11-08 00:00:00+00,,,FALSE,FALSE
2696,602,Mayor of Chicago,IL,LOCAL,US,1,,http://mayor.cityofchicago.org/,2023-02-28 00:00:00+00,,,FALSE,FALSE
2948,2844,St. Charles County Executive,MO,LOCAL,US,1,4 years,http://www.sccmo.org/553/Executive,2022-11-08 00:00:00+00,,https://www.sccmo.org/410/Election-Authority,FALSE,FALSE
3017,2854,Lake County Board of Commissioners,IN,LOCAL,US,3,4 years,https://www.lakecountyin.org/portal/media-type/html/group/commissioners/page/default,2022-11-08 00:00:00+00,all seats up after redistricting,,FALSE,FALSE
3047,2878,Montgomery County Executive,MD,LOCAL,US,1,4 years,http://www.montgomerycountymd.gov/exec/index.html,2022-11-08 00:00:00+00,All,,FALSE,FALSE
3056,2836,Cook County Board of Commissioners,IL,LOCAL,US,17,4 years,https://www.cookcountyil.gov/board-of-commissioners,2022-11-08 00:00:00+00,,,FALSE,FALSE
3057,2835,Cook County Board President,IL,LOCAL,US,1,4 years,https://www.cookcountyil.gov/agency/office-president-0,2022-11-08 00:00:00+00,,,FALSE,FALSE
3216,3216,Bridgeport Mayor,CT,LOCAL,US,1,4 years,http://www.bridgeportct.gov/mayor,2023-11-07 00:00:00+00,,,FALSE,FALSE
3559,3229,Manchester Mayor,NH,LOCAL,US,1,2 years,https://www.manchesternh.gov/Mayor-and-Aldermen/Mayors-Office,2023-11-07 00:00:00+00,,,FALSE,FALSE
3711,1577,Allentown Mayor,PA,LOCAL,US,1,4 years,http://www.allentownpa.gov/Government/MayorsOffice/tabid/60/Default.aspx,2025-11-04 00:00:00+00,,,FALSE,FALSE
3814,3115,Little Rock Mayor,AR,LOCAL,US,1,4 years,https://www.littlerock.gov/city-administration/mayors-office/,2022-11-08 00:00:00+00,"Mayor and Board seats 1, 2, 5, 6, 7",https://www.littlerock.gov/city-administration/cityclerksoffice/board-elections/,FALSE,FALSE
3832,3100,Boise Mayor,ID,LOCAL,US,1,4 years,http://mayor.cityofboise.org/,2023-11-07 00:00:00+00,All 6 seats + Mayor,https://www.cityofboise.org/departments/finance-and-administration/city-clerk/city-elections/,FALSE,FALSE
3874,3325,South Bend Common Council,IN,LOCAL,US,9,4 years,https://www.southbendin.gov/government/department/common-council,2023-11-07 00:00:00+00,Mayor and all council members,https://www.sjcindiana.com/232/Voting-Elections,FALSE,FALSE
4182,4177,Gary Common Council,IN,LOCAL,US,9,4 years,http://www.garycommoncouncil.org/,2023-11-07 00:00:00+00,Mayor and all council seats,,FALSE,FALSE
4184,4179,Munster Town Council,IN,LOCAL,US,5,4 years,http://www.munster.org/council/,2023-11-07 00:00:00+00,All 5 seats,https://www.munster.org/department/division.php?structureid=17,FALSE,FALSE
