name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Green Bay Common Council,WI,LOCAL,US,12,2 years,https://greenbaywi.gov/617/Common-Council,2022-04-05 05:00:00+00:00,All 12 seats.,,False,False,44.51270874334217,-88.0077570914884,"Apr 05, 2022"
Jefferson City Council,MO,LOCAL,US,10,2 years,https://www.jeffersoncitymo.gov/government/council_members.php,2022-04-05 05:00:00+00:00,1 seat from each of 5 wards,,False,False,38.559165952111705,-92.18331090184476,"Apr 05, 2022"
Independence City Council,MO,LOCAL,US,7,4 years,https://www.ci.independence.mo.us/CityCouncil,2022-04-05 05:00:00+00:00,mayor and 2 at-large councilmembers,,False,False,39.08274011659034,-94.37462123813407,"Apr 05, 2022"
Anchorage Assembly,AK,LOCAL,US,11,3 years,https://www.muni.org/departments/assembly/pages/default.aspx,2022-04-05 05:00:00+00:00,One seat each in districts 2-6.,,False,False,61.16039628110558,-149.52270729223233,"Apr 05, 2022"
Columbia City Council,MO,LOCAL,US,7,3 years,https://www.como.gov/boards/city-council/,2022-04-05 05:00:00+00:00,"Mayor, Ward 3, Ward 4",,False,False,38.9471441947662,-92.33432394154181,"Apr 05, 2022"
Sioux Falls Mayor,SD,LOCAL,US,1,4 years,https://www.siouxfalls.org/mayor,2022-04-12 05:00:00+00:00,"Mayor, At-Large Council Member “A,” At-Large Council Member “B,” Southeast (SE) District Council Member, and Central (CE) District Council Member",,False,False,43.53353941264856,-96.73212058275728,"Apr 12, 2022"
Sioux Falls City Council,SD,LOCAL,US,8,4 years,https://www.siouxfalls.org/council/,2022-04-12 05:00:00+00:00,"Mayor, At-Large Council Member “A,” At-Large Council Member “B,” Southeast (SE) District Council Member, and Central (CE) District Council Member",,False,False,43.53353941264856,-96.73212058275728,"Apr 12, 2022"
Lancaster City Council,CA,LOCAL,US,5,4 years,https://www.cityoflancasterca.org/about-us/city-government/city-officials/city-council,2022-04-12 05:00:00+00:00,,,False,False,34.69343514387923,-118.17524329998106,"Apr 12, 2022"
Fayetteville City Council,NC,LOCAL,US,10,2 years,https://www.fayettevillenc.gov/city-council,2022-04-26 05:00:00+00:00,All,,False,False,35.07504261353828,-78.9679589524612,"Apr 26, 2022"
Charlotte City Council,NC,LOCAL,US,12,2 years,https://charlottenc.gov/citycouncil/Pages/default.aspx,2022-04-26 05:00:00+00:00,Mayor and all council seats,,False,False,35.2067066337518,-80.81767728003612,"Apr 26, 2022"
Greensboro City Council,NC,LOCAL,US,8,4 Years,https://www.greensboro-nc.gov/government/city-council,2022-04-26 05:00:00+00:00,,,False,False,36.094071158902615,-79.82673428763054,"Apr 26, 2022"
Greensboro Mayor,NC,LOCAL,US,1,4 Years,https://www.greensboro-nc.gov/government/city-council,2022-04-26 05:00:00+00:00,,,False,False,36.094071158902615,-79.82673428763054,"Apr 26, 2022"
Oregon Metro Council President,OR,LOCAL,US,1,4 years,http://www.oregonmetro.gov/regional-leadership/metro-council,2022-05-03 05:00:00+00:00,"District 1, 2, and 4.",,False,False,45.4832904391094,-122.68163832795226,"May 03, 2022"
Newport News City Council,VA,LOCAL,US,7,4 years,https://www.nnva.gov/465/Elected-Officials,2022-05-03 05:00:00+00:00,"Mayor, 1B, 2B, 3B",,False,False,37.085691357733104,-76.50602940957862,"May 03, 2022"
Fairfax Mayor,VA,LOCAL,US,1,2 years,https://www.fairfaxva.gov/government/mayor-city-council,2022-05-03 05:00:00+00:00,All positions,,False,False,38.85298853648394,-77.2999048511569,"May 03, 2022"
Hampton City Council,VA,LOCAL,US,7,4 years,https://hampton.gov/222/City-Council,2022-05-03 05:00:00+00:00,3 councilmembers,,False,False,37.04874896582373,-76.29535988526455,"May 03, 2022"
Norfolk City Council,VA,LOCAL,US,8,4 years,http://www.norfolk.gov/Index.aspx?NID=200,2022-05-03 05:00:00+00:00,Superwards 1-5,,False,False,36.89709423502754,-76.26114095713685,"May 03, 2022"
Fairfax City Council,VA,LOCAL,US,6,2 years,https://www.fairfaxva.gov/government/mayor-city-council,2022-05-03 05:00:00+00:00,All positions,,False,False,38.85298853648394,-77.2999048511569,"May 03, 2022"
Oregon Metro Council,OR,LOCAL,US,6,4 years,https://www.oregonmetro.gov/regional-leadership/metro-council,2022-05-03 05:00:00+00:00,"District 1, 2, and 4.",,False,False,45.4832904391094,-122.68163832795226,"May 03, 2022"
Chesapeake City Council,VA,LOCAL,US,9,4 years,https://www.cityofchesapeake.net/government/council.htm,2022-05-03 05:00:00+00:00,5 seats,,False,False,36.677744495708,-76.3024182871377,"May 03, 2022"
Northern Ireland Assembly,NIR,STATE,UK,90,5 Years,http://www.niassembly.gov.uk/,2022-05-05 05:00:00+00:00,"This election was originally scheduled for May 6, 2021, but was pushed to 2022 after a snap election in March 2017.",,False,False,54.62091529783607,-6.334902542894506,"May 05, 2022"
Tasmania Legislative Council,TAS,STATE,AS,15,6 years,http://www.parliament.tas.gov.au/,2022-05-07 05:00:00+00:00,2 divisions: Elwick and McIntyre,https://en.wikipedia.org/wiki/2022_Tasmanian_Legislative_Council_periodic_election,False,False,-42.14007538724285,146.91131793365145,"May 07, 2022"
